offset_hex,value,length_bytes,kind
0x60,344063,3,primary
0x63,121,1,chain
0x64,254246911,4,chain
0x68,638975,3,chain
0x6b,122,1,chain
0x6c,256638975,4,chain
0x70,933887,3,chain
0x73,123,1,chain
0x74,259031039,4,chain
0x78,1228799,3,chain
0x7b,124,1,chain
0x7c,261423103,4,chain
0x80,1523711,3,chain
0x83,125,1,chain
0x84,263815167,4,chain
0x88,1818623,3,chain
0x8b,126,1,chain
0x8c,266207231,4,chain
0x90,266354687,4,chain
0x94,163839,3,chain
0x97,15762564375904128,8,chain
0x9f,25895663843671937,8,chain
0xa7,36028763311439746,8,chain
0xaf,46724812732628867,8,chain
0xb7,56857912202493828,8,chain
0xbf,66991011670261637,8,chain
0x60,344063,3,primary
0x63,121,1,chain
0x64,254246911,4,chain
0x68,638975,3,chain
0x6b,122,1,chain
0x6c,256638975,4,chain
0x70,933887,3,chain
0x73,123,1,chain
0x74,259031039,4,chain
0x78,1228799,3,chain
0x7b,124,1,chain
0x7c,261423103,4,chain
0x80,1523711,3,chain
0x83,125,1,chain
0x84,263815167,4,chain
0x88,1818623,3,chain
0x8b,126,1,chain
0x8c,266207231,4,chain
0x90,266354687,4,chain
0x94,163839,3,chain
0x97,15762564375904128,8,chain
0x9f,25895663843671937,8,chain
0xa7,36028763311439746,8,chain
0xaf,46724812732628867,8,chain
0xb7,56857912202493828,8,chain
0xbf,66991011670261637,8,chain
0x70,933887,3,primary
0x73,123,1,chain
0x74,259031039,4,chain
0x78,1228799,3,chain
0x7b,124,1,chain
0x7c,261423103,4,chain
0x80,1523711,3,chain
0x83,125,1,chain
0x84,263815167,4,chain
0x88,1818623,3,chain
0x8b,126,1,chain
0x8c,266207231,4,chain
0x90,266354687,4,chain
0x94,163839,3,chain
0x97,15762564375904128,8,chain
0x9f,25895663843671937,8,chain
0xa7,36028763311439746,8,chain
0xaf,46724812732628867,8,chain
0xb7,56857912202493828,8,chain
0xbf,66991011670261637,8,chain
0xa0,202309873778687,7,primary
0xa7,36028763311439746,8,chain
0xaf,46724812732628867,8,chain
0xb7,56857912202493828,8,chain
0xbf,66991011670261637,8,chain
